e_no,c,k1,k2,k3,k4,ax,ay,az,bx,by,bz,pvol,m_g,m_c
42,0.0228,0.132,3.45,0.132,3.45,-0.1364625157995798,0.0,0.9906452350774467,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
43,0.0228,0.132,3.45,0.132,3.45,-0.14063583861080167,0.0,0.9900613924894943,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
44,0.0228,0.132,3.45,0.132,3.45,-0.14091384370831775,0.0,0.990021862713823,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
45,0.0228,0.132,3.45,0.132,3.45,-0.141216967085133,0.0,0.989978670581986,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
46,0.0228,0.132,3.45,0.132,3.45,-0.14147407358416617,0.0,0.9899419611792915,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
47,0.0228,0.132,3.45,0.132,3.45,-0.141357575534344,0.0,0.9899586030936102,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
48,0.0228,0.132,3.45,0.132,3.45,-0.14154869611575108,0.0,0.9899312938926271,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
49,0.0228,0.132,3.45,0.132,3.45,-0.14362652398800765,0.0,0.9896319627048846,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
50,0.0228,0.132,3.45,0.132,3.45,-0.14374440321213303,0.0,0.9896148475771712,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
51,0.0228,0.132,3.45,0.132,3.45,-0.1439059602011062,0.0,0.9895913674939761,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
52,0.0228,0.132,3.45,0.132,3.45,-0.14402288488528223,0.0,0.9895743573018253,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
53,0.0228,0.132,3.45,0.132,3.45,-0.142995854998221,0.0,0.9897232873148575,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
54,0.0228,0.132,3.45,0.132,3.45,-0.1430672574354315,0.0,0.9897129684155421,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
55,0.0228,0.132,3.45,0.132,3.45,-0.17936310992391633,0.0,0.9837829408962228,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
56,0.0228,0.132,3.45,0.132,3.45,-0.17919431672027517,0.0,0.9838137002782354,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
57,0.0228,0.132,3.45,0.132,3.45,-0.3097847894942363,0.0,0.9508067018053731,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
58,0.0228,0.132,3.45,0.132,3.45,-0.30971256875960435,0.0,0.9508302291956894,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
59,0.0228,0.132,3.45,0.132,3.45,-0.9152058394386101,0.0,0.40298668893335554,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
60,0.0228,0.132,3.45,0.132,3.45,-0.9152214824880656,0.0,0.40295116080282944,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
61,0.0228,0.132,3.45,0.132,3.45,-0.8091434891914946,0.0,0.5876111077056098,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
62,0.0228,0.132,3.45,0.132,3.45,-0.809158091240178,0.0,0.5875910000847117,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
63,0.0228,0.132,3.45,0.132,3.45,-0.6978126897043999,0.0,0.7162802873788381,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
64,0.0228,0.132,3.45,0.132,3.45,-0.6978372505225896,0.0,0.7162563589826428,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
65,0.0228,0.132,3.45,0.132,3.45,-0.5422187058840697,0.0,0.8402373920442987,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
66,0.0228,0.132,3.45,0.132,3.45,-0.5422321456692707,0.0,0.840228718982456,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
67,0.0228,0.132,3.45,0.132,3.45,-0.34258115842803477,0.0,0.9394882382925854,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
68,0.0228,0.132,3.45,0.132,3.45,-0.342602918040347,0.0,0.9394803034392148,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
69,0.0228,0.132,3.45,0.132,3.45,-0.3725149402308569,0.0,0.9280261953764026,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
70,0.0228,0.132,3.45,0.132,3.45,-0.37253641362306555,0.0,0.9280175755473945,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
71,0.0228,0.132,3.45,0.132,3.45,-0.4047050890119342,0.0,0.9144472597847524,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
72,0.0228,0.132,3.45,0.132,3.45,-0.4047597798376309,0.0,0.9144230534199106,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
73,0.0228,0.132,3.45,0.132,3.45,-0.4168843634664082,0.0,0.9089595301756881,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
74,0.0228,0.132,3.45,0.132,3.45,-0.4169367907587454,0.0,0.9089354831404692,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
75,0.0228,0.132,3.45,0.132,3.45,-0.4235284921551106,0.0,0.905882782887951,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
76,0.0228,0.132,3.45,0.132,3.45,-0.42355546478103234,0.0,0.9058701718536292,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
77,0.0228,0.132,3.45,0.132,3.45,-0.4257881435915809,0.0,0.90482288696564,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
78,0.0228,0.132,3.45,0.132,3.45,-0.4257609675368657,0.0,0.904835674872555,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
79,0.0228,0.132,3.45,0.132,3.45,-0.42821483926008463,0.0,0.9036769618826519,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
80,0.0228,0.132,3.45,0.132,3.45,-0.42813666032770986,0.0,0.9037140034786642,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
81,0.0228,0.132,3.45,0.132,3.45,-0.4283283668742082,0.0,0.9036231571462041,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
82,0.0228,0.132,3.45,0.132,3.45,-0.4282918960599931,0.0,0.9036404438543773,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
83,0.0228,0.132,3.45,0.132,3.45,-0.4150334507310405,0.0,0.9098061523062397,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
84,0.0228,0.132,3.45,0.132,3.45,-0.41518233721123204,0.0,0.9097382188672843,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
85,0.0228,0.132,3.45,0.132,3.45,-0.4799866966837245,0.0,0.8772757667955079,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
86,0.0228,0.132,3.45,0.132,3.45,-0.47980173498548445,0.0,0.8773769401488274,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
87,0.0228,0.132,3.45,0.132,3.45,-0.6932788846126304,0.0,0.7206694028125983,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
88,0.0228,0.132,3.45,0.132,3.45,-0.6933373336624459,0.0,0.720613170674704,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
89,0.0228,0.132,3.45,0.132,3.45,-0.8883017645223998,0.0,0.4592602477314915,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
90,0.0228,0.132,3.45,0.132,3.45,-0.8882905550003225,0.0,0.4592819285550207,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
91,0.0228,0.132,3.45,0.132,3.45,-0.8718724589742816,0.0,0.4897330040768538,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
92,0.0228,0.132,3.45,0.132,3.45,-0.8718535486591765,0.0,0.48976666861925294,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
93,0.0228,0.132,3.45,0.132,3.45,-0.8713804715600412,0.0,0.4906078615185453,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
94,0.0228,0.132,3.45,0.132,3.45,-0.8713857003129346,0.0,0.49059857448848787,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
95,0.0228,0.132,3.45,0.132,3.45,-0.8752170019288511,0.0,0.48373050300210907,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
96,0.0228,0.132,3.45,0.132,3.45,-0.8752240463646804,0.0,0.4837177572355966,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
97,0.0228,0.132,3.45,0.132,3.45,-0.8801013117747716,0.0,0.47478593177591766,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
98,0.0228,0.132,3.45,0.132,3.45,-0.8800709083069344,0.0,0.47484228576634513,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
99,0.0228,0.132,3.45,0.132,3.45,-0.8792414408681632,0.0,0.47637641488645927,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
100,0.0228,0.132,3.45,0.132,3.45,-0.8791647124420544,0.0,0.47651800427337443,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
101,0.0228,0.132,3.45,0.132,3.45,-0.8671864628397999,0.0,0.49798357268829285,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
102,0.0228,0.132,3.45,0.132,3.45,-0.8671384029541906,0.0,0.49806725461734147,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
103,0.0228,0.132,3.45,0.132,3.45,-0.6765086373530961,0.0,0.7364346974353241,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
104,0.0228,0.132,3.45,0.132,3.45,-0.676338336460319,0.0,0.7365911040964914,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
105,0.0228,0.132,3.45,0.132,3.45,-0.6849345888342977,0.0,0.7286045628586135,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
106,0.0228,0.132,3.45,0.132,3.45,-0.6848300314535775,0.0,0.7287028393105739,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
107,0.0228,0.132,3.45,0.132,3.45,-0.6852219536614024,0.0,0.7283343148722646,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
108,0.0228,0.132,3.45,0.132,3.45,-0.685184184836204,0.0,0.7283698461978959,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
109,0.0228,0.132,3.45,0.132,3.45,-0.6798794428625029,0.0,0.733323900587573,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
110,0.0228,0.132,3.45,0.132,3.45,-0.679898020584215,0.0,0.7333066763678526,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
111,0.0228,0.132,3.45,0.132,3.45,-0.671400421623264,0.0,0.7410947806077866,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
112,0.0228,0.132,3.45,0.132,3.45,-0.6714225713631189,0.0,0.7410747132807444,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
113,0.0228,0.132,3.45,0.132,3.45,-0.6615504622935385,0.0,0.7499006506459408,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
114,0.0228,0.132,3.45,0.132,3.45,-0.6615555966587886,0.0,0.7498961211590803,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
115,0.0228,0.132,3.45,0.132,3.45,-0.7508634774097845,0.0,0.6604574462386551,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
116,0.0228,0.132,3.45,0.132,3.45,-0.7508134415353229,0.0,0.6605143268770817,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
117,0.0228,0.132,3.45,0.132,3.45,-0.6031512258333583,0.0,0.797626854347142,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
118,0.0228,0.132,3.45,0.132,3.45,-0.6030619427072835,0.0,0.7976943608037587,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
119,0.0228,0.132,3.45,0.132,3.45,-0.8270213596386273,0.0,0.562170499672009,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
120,0.0228,0.132,3.45,0.132,3.45,-0.8271276163885883,0.0,0.5620141512518456,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
121,0.0228,0.132,3.45,0.132,3.45,-0.6350344760298627,0.0,0.7724837954633598,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
122,0.0228,0.132,3.45,0.132,3.45,-0.6350196741459245,0.0,0.7724959633859609,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
123,0.0228,0.132,3.45,0.132,3.45,-0.7194995983693585,0.0,-0.6944928566560867,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
124,0.0228,0.132,3.45,0.132,3.45,-0.7195751706636057,0.0,-0.6944145546893749,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
125,0.0228,0.132,3.45,0.132,3.45,-0.3245727246177762,0.0,-0.9458607436796356,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
126,0.0228,0.132,3.45,0.132,3.45,-0.32468460819632533,0.0,-0.9458223433607384,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
127,0.0228,0.132,3.45,0.132,3.45,-0.19287708602430428,0.0,-0.9812229255815281,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
128,0.0228,0.132,3.45,0.132,3.45,-0.19296426899696875,0.0,-0.9812057841709177,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
129,0.0228,0.132,3.45,0.132,3.45,-0.14611818124987552,0.0,-0.9892671414275461,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
130,0.0228,0.132,3.45,0.132,3.45,-0.14637146398933115,0.0,-0.989229697557458,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
131,0.0228,0.132,3.45,0.132,3.45,-0.12889714783888184,0.0,-0.9916579678896356,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
132,0.0228,0.132,3.45,0.132,3.45,-0.1291065266316426,0.0,-0.9916307300508153,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
133,0.0228,0.132,3.45,0.132,3.45,-0.11718754363189209,0.0,-0.9931098023972593,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
134,0.0228,0.132,3.45,0.132,3.45,-0.1173884817557991,0.0,-0.993086070968206,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
135,0.0228,0.132,3.45,0.132,3.45,-0.11518864752573385,0.0,-0.9933436341373475,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
136,0.0228,0.132,3.45,0.132,3.45,-0.11536365054324033,0.0,-0.9933233250726257,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
137,0.0228,0.132,3.45,0.132,3.45,-0.11620470449966831,0.0,-0.9932252849440276,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
138,0.0228,0.132,3.45,0.132,3.45,-0.11635875877178321,0.0,-0.9932072488947561,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
139,0.0228,0.132,3.45,0.132,3.45,-0.11306429728861599,0.0,-0.9935876733729296,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
140,0.0228,0.132,3.45,0.132,3.45,-0.11323327773585823,0.0,-0.99356842985936,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
141,0.0228,0.132,3.45,0.132,3.45,-0.10891527853982096,0.0,-0.9940510359637442,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
142,0.0228,0.132,3.45,0.132,3.45,-0.10906167499330081,0.0,-0.9940349848207836,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
143,0.0228,0.132,3.45,0.132,3.45,-0.10826097366555283,0.0,-0.9941225083363652,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
144,0.0228,0.132,3.45,0.132,3.45,-0.10835651047375935,0.0,-0.9941120996336129,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
145,0.0228,0.132,3.45,0.132,3.45,-0.1117039793286134,0.0,-0.9937415262542633,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
146,0.0228,0.132,3.45,0.132,3.45,-0.11171248272369673,0.0,-0.9937405703722214,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
147,0.0228,0.132,3.45,0.132,3.45,-0.11020299216778644,0.0,-0.993909100731685,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
148,0.0228,0.132,3.45,0.132,3.45,-0.11024638657974753,0.0,-0.993904288272321,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
149,0.0228,0.132,3.45,0.132,3.45,-0.9936011090611186,0.0,-0.11294616448784327,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
150,0.0228,0.132,3.45,0.132,3.45,-0.9936014135666037,0.0,-0.11294348568397783,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
151,0.0228,0.132,3.45,0.132,3.45,-0.9432477248514235,0.0,-0.3320899419774911,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
152,0.0228,0.132,3.45,0.132,3.45,-0.9432476840181697,0.0,-0.3320900579577158,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
153,0.0228,0.132,3.45,0.132,3.45,-0.8455358536756211,0.0,-0.5339186456278133,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
154,0.0228,0.132,3.45,0.132,3.45,-0.8455357352394798,0.0,-0.5339188331881844,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
155,0.0228,0.132,3.45,0.132,3.45,-0.7060218380354557,0.0,-0.7081900622128476,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
156,0.0228,0.132,3.45,0.132,3.45,-0.7060188418568349,0.0,-0.7081930492056058,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
157,0.0228,0.132,3.45,0.132,3.45,-0.32908881729313294,0.0,-0.9442989729596273,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
158,0.0228,0.132,3.45,0.132,3.45,-0.32909595971260713,0.0,-0.9442964837914192,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
159,0.0228,0.132,3.45,0.132,3.45,-0.5310024478173765,0.0,-0.8473702853015053,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
160,0.0228,0.132,3.45,0.132,3.45,-0.5310137096914145,0.0,-0.8473632279723743,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
161,0.0228,0.132,3.45,0.132,3.45,-0.9933181127623274,0.0,-0.11540852160169272,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
162,0.0228,0.132,3.45,0.132,3.45,-0.9933170745741929,0.0,-0.11541745690911452,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
163,0.0228,0.132,3.45,0.132,3.45,-0.9927932106568109,0.0,-0.11984006372553822,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
164,0.0228,0.132,3.45,0.132,3.45,-0.9927841607313034,0.0,-0.11991501240896195,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
165,0.0228,0.132,3.45,0.132,3.45,-0.991982045588221,0.0,-0.12637887968568393,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
166,0.0228,0.132,3.45,0.132,3.45,-0.991960351804436,0.0,-0.12654904364719408,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
167,0.0228,0.132,3.45,0.132,3.45,-0.9913145094952768,0.0,-0.1315125213207426,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
168,0.0228,0.132,3.45,0.132,3.45,-0.9912891981076738,0.0,-0.13170317275998006,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
169,0.0228,0.132,3.45,0.132,3.45,-0.990764217571545,0.0,-0.13559596299242924,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
170,0.0228,0.132,3.45,0.132,3.45,-0.9907390720870113,0.0,-0.13577956783024472,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
171,0.0228,0.132,3.45,0.132,3.45,-0.9910685345612169,0.0,-0.13335351439944132,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
172,0.0228,0.132,3.45,0.132,3.45,-0.9910377000751962,0.0,-0.1335824727637033,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
173,0.0228,0.132,3.45,0.132,3.45,-0.9908551508429552,0.0,-0.13492987085143351,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
174,0.0228,0.132,3.45,0.132,3.45,-0.9908278057295563,0.0,-0.1351305272436714,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
175,0.0228,0.132,3.45,0.132,3.45,-0.9868157482504004,0.0,-0.16184770311932808,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
176,0.0228,0.132,3.45,0.132,3.45,-0.9867900517436237,0.0,-0.162004301732443,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
177,0.0228,0.132,3.45,0.132,3.45,-0.9764326220691344,0.0,-0.21582246073843905,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
178,0.0228,0.132,3.45,0.132,3.45,-0.9764023999431158,0.0,-0.21595914749165795,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
179,0.0228,0.132,3.45,0.132,3.45,-0.944479444821747,0.0,-0.3285705073636475,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
180,0.0228,0.132,3.45,0.132,3.45,-0.9444552256769546,0.0,-0.32864011728864245,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
181,0.0228,0.132,3.45,0.132,3.45,-0.3256765442131861,0.0,-0.9454812470638202,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
182,0.0228,0.132,3.45,0.132,3.45,-0.32570215189454094,0.0,-0.9454724259603056,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
183,0.0228,0.132,3.45,0.132,3.45,-0.5270236121627112,0.0,-0.8498506411264087,0.0,1.0,0.0,0.2,1.0,1.0, 1.0
