e_no,c,k1,k2,k3,k4,ax,ay,az,bx,by,bz,pvol,m_g,m_c
1,0.0228,0.132,3.45,0.132,3.45,-0.6895441552530425,0.0,0.7242436454373405,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
2,0.0228,0.132,3.45,0.132,3.45,-0.6895545979679897,0.0,0.7242337029034234,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
3,0.0228,0.132,3.45,0.132,3.45,-0.6895752291119592,0.0,0.7242140590979915,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
4,0.0228,0.132,3.45,0.132,3.45,-0.6896099373857364,0.0,0.7241810093193832,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
5,0.0228,0.132,3.45,0.132,3.45,-0.6896561185646187,0.0,0.7241370299372796,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
6,0.0228,0.132,3.45,0.132,3.45,-0.6897219733754896,0.0,0.7240743051945846,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
7,0.0228,0.132,3.45,0.132,3.45,-0.689806256305961,0.0,0.7239940115506169,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
8,0.0228,0.132,3.45,0.132,3.45,-0.689905214451371,0.0,0.7238997134084306,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
9,0.0228,0.132,3.45,0.132,3.45,-0.6900276607633122,0.0,0.7237829974388118,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
10,0.0228,0.132,3.45,0.132,3.45,-0.6901855491139975,0.0,0.7236324397055524,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
11,0.0228,0.132,3.45,0.132,3.45,-0.690384778028753,0.0,0.7234423669278633,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
12,0.0228,0.132,3.45,0.132,3.45,-0.6906469995277622,0.0,0.7231920367670674,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
13,0.0228,0.132,3.45,0.132,3.45,-0.6910009650858722,0.0,0.7228538346376765,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
14,0.0228,0.132,3.45,0.132,3.45,-0.6915883811671297,0.0,0.7222918461637435,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
15,0.0228,0.132,3.45,0.132,3.45,-0.6928331137583369,0.0,0.7210979659380045,0.0,1.0,-0.0,1.0,1.0,1.0, 1.0
