e_no,c,k1,k2,k3,k4,ax,ay,az,bx,by,bz,pvol,m_g,m_c
1,0.0228,0.132,3.45,0.132,3.45,0.03929871438965813,0.0,0.9992275071510592,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
2,0.0228,0.132,3.45,0.132,3.45,0.11744749472057466,0.0,0.9930790935186687,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
3,0.0228,0.132,3.45,0.132,3.45,0.19478793433456368,0.0,0.9808453805965922,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
4,0.0228,0.132,3.45,0.132,3.45,0.27080407551221974,0.0,0.9626344855062964,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
5,0.0228,0.132,3.45,0.132,3.45,0.3446533112960134,0.0,0.9387300437360536,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
6,0.0228,0.132,3.45,0.132,3.45,0.41540506482783957,0.0,0.9096365384676334,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
7,0.0228,0.132,3.45,0.132,3.45,0.4821994863950429,0.0,0.8760614449457053,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
8,0.0228,0.132,3.45,0.132,3.45,0.5442528424763231,0.0,0.8389212379338377,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
9,0.0228,0.132,3.45,0.132,3.45,0.6007011770734907,0.0,0.7994736367526591,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
10,0.0228,0.132,3.45,0.132,3.45,0.6501115420983451,0.0,0.7598387873953999,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
11,0.0228,0.132,3.45,0.132,3.45,0.690041560634817,0.0,0.7237697455659956,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
12,0.0228,0.132,3.45,0.132,3.45,0.03744159220896807,0.0,0.9992988177581605,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
13,0.0228,0.132,3.45,0.132,3.45,0.11208129887336997,0.0,0.9936990401740653,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
14,0.0228,0.132,3.45,0.132,3.45,0.18632614072165543,0.0,0.9824879486710123,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
15,0.0228,0.132,3.45,0.132,3.45,0.25979366658641656,0.0,0.9656641501068505,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
16,0.0228,0.132,3.45,0.132,3.45,0.3317455382032384,0.0,0.9433689086896195,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
17,0.0228,0.132,3.45,0.132,3.45,0.4013043587375468,0.0,0.9159447645236289,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
18,0.0228,0.132,3.45,0.132,3.45,0.46761192247668176,0.0,0.8839338719370707,-0.0,1.0,0.0,0.2,1.0,1.0, 1.0
